Day,Temperature
1,-10.3
2,-10.8
3,-12.8
4,-13.4
5,-15.3
6,-10
7,-5.6
8,-5.3
9,-12
10,-10.6
11,-4.2
12,-15
13,-9.4
14,-4.2
15,-12.3
16,-10.9
17,-6.1
18,-16.1
19,-21.7
20,-19.2
21,-18.4
22,-22.8
23,-20.3
24,-18.9
25,-20.8
26,-19.5
27,-17.3
28,-12.8
29,-11.4
30,-19.2
31,-17.8
32,-22
33,-21.4
34,-18.1
35,-10.9
36,-12
37,-3.9
38,-11.4
39,-4.2
40,-1.4
41,-1.4
42,-6.1
43,-11.1
44,-10.6
45,-1.1
46,-7.2
47,-11.2
48,-8.4
49,-4.4
50,1.7
51,-8.1
52,-6.7
53,0
54,-2.8
55,-4.2
56,-2.8
57,-1.1
58,0.3
59,-0.3
60,-2.5
61,0.6
62,4.2
63,-1.7
64,-6.7
65,-0.3
66,0
67,-5
68,-6.7
69,-9.7
70,-12.2
71,-7.8
72,-6.1
73,-3.1
74,-1.7
75,-7.5
76,-13.6
77,-9.7
78,-4.8
79,-5.8
80,-8.4
81,-4.5
82,0.9
83,2.5
84,3.4
85,-0.6
86,5.6
87,7.5
88,2.2
89,1.1
90,-0.9
91,2.2
92,1.7
93,1.7
94,5.3
95,6.1
96,5.6
97,3.1
98,2.5
99,3.1
100,4.2
101,2.8
102,4.2
103,3.7
104,1.1
105,4.5
106,4.5
107,4.8
108,3.1
109,3.6
110,7.5
111,10.3
112,9.2
113,11.4
114,7.2
115,8.6
116,3.9
117,7.8
118,12.3
119,6.1
120,5.6
121,8.6
122,4.8
123,5.6
124,10.3
125,7
126,9.5
127,12.2
128,13.4
129,19.8
130,11.7
131,11.1
132,15.6
133,21.1
134,21.7
135,21.4
136,16.7
137,7.5
138,9.7
139,9.5
140,12.3
141,10.3
142,12.5
143,12.8
144,13.1
145,15.6
146,3.7
147,9.2
148,13.1
149,11.1
150,5.6
151,8.9
152,17.5
153,18.6
154,15.3
155,14.8
156,16.7
157,14.5
158,12.2
159,13.3
160,16.4
161,20
162,13.1
163,18.9
164,23.6
165,14.8
166,13.1
167,15.8
168,19.7
169,20.3
170,21.1
171,17.8
172,15.9
173,20.3
174,20.3
175,18.9
176,17.8
177,16.7
178,18.6
179,20.3
180,23.1
181,22.8
182,17
183,16.4
184,20.9
185,15
186,16.7
187,17.8
188,18.4
189,18.4
190,18.1
191,19.2
192,20
193,24.2
194,23.4
195,21.4
196,21.4
197,20
198,21.7
199,22.3
200,23.1
201,22.5
202,22.2
203,23.9
204,24.8
205,26.2
206,24.8
207,23.1
208,21.1
209,24.4
210,24.5
211,23.1
212,18.9
213,17.8
214,19.2
215,21.7
216,20.6
217,22.5
218,22.8
219,22.5
220,23.1
221,23.4
222,25.6
223,23.4
224,20.3
225,14.2
226,16.7
227,20
228,15.3
229,16.1
230,20.3
231,22.5
232,17.2
233,16.1
234,15.6
235,18.7
236,22.2
237,23.1
238,22.5
239,19.7
240,19.8
241,20.3
242,22.2
243,24.2
244,25.6
245,18.7
246,24.5
247,26.4
248,23.1
249,17
250,19.5
251,22
252,22.5
253,25.6
254,27
255,19.8
256,12.2
257,17.8
258,13.6
259,11.2
260,10.6
261,13.6
262,16.1
263,18.1
264,19.7
265,20
266,23.6
267,20
268,21.4
269,18.6
270,17.2
271,12.2
272,9.7
273,12
274,18.1
275,13.6
276,7.8
277,6.4
278,8.9
279,17
280,17.3
281,15.3
282,18.1
283,16.7
284,13.4
285,18.9
286,16.1
287,10.9
288,3.1
289,4.2
290,9.5
291,15.9
292,12.8
293,10
294,7
295,7
296,5.3
297,4.2
298,5.6
299,8.4
300,1.7
301,3.9
302,12.8
303,11.4
304,8.4
305,3.1
306,3.4
307,12
308,11.4
309,9.2
310,7
311,6.7
312,5
313,0.9
314,-1.4
315,0
316,6.4
317,8.1
318,7.8
319,3.6
320,2
321,5.6
322,-0.6
323,-2
324,-3.1
325,0
326,1.4
327,4.7
328,5.6
329,2.8
330,0.6
331,-1.7
332,-3.9
333,-3.3
334,-4.8
335,-5.3
336,-3.4
337,-0.3
338,2.2
339,4.7
340,2.5
341,1.7
342,-3.6
343,-6.4
344,-2
345,-0.3
346,0.6
347,-0.6
348,-3.1
349,-10.6
350,-13.1
351,-8.6
352,-4.7
353,-3.7
354,-2.5
355,-6.1
356,-10
357,-10
358,-12
359,-7.5
360,-4.2
361,0.8
362,-2.8
363,-9.5
364,-8.4
365,-5.9
366,-10
367,-15.9
368,-8.9
369,-13.9
370,-16.4
371,-10.6
372,-3.6
373,-0.8
374,-7.5
375,-13.9
376,-11.7
377,-6.1
378,-7
379,-2.5
380,1.4
381,-7.5
382,-13.1
383,-15.9
384,-13.1
385,-12.8
386,-9.5
387,-2.8
388,-7.5
389,-5
390,-3.7
391,-6.7
392,-7.5
393,-18.1
394,-21.7
395,-18.1
396,-23.9
397,-26.7
398,-25
399,-10.6
400,-5
401,0.8
402,-13.4
403,-17.8
404,-13.9
405,-11.7
406,-18.3
407,-20.3
408,-16.1
409,-10
410,-8.1
411,-10.9
412,-9.5
413,-7.8
414,-16.2
415,-13.7
416,-7.8
417,-10
418,-5.6
419,-3.6
420,-13.9
421,-15.9
422,-4.5
423,1.4
424,-1.4
425,-9.8
426,-14.8
427,-13.6
428,-9.2
429,-2
430,-1.1
431,-2.8
432,-3.4
433,-5.9
434,-2.2
435,-2.2
436,-0.6
437,-0.8
438,-0.6
439,1.7
440,0.3
441,1.2
442,-1.4
443,-3.1
444,-1.4
445,0.6
446,2.2
447,-2
448,1.1
449,3.9
450,3.6
451,3.3
452,5.6
453,9.2
454,13.1
455,2.8
456,1.1
457,-2.8
458,-3.1
459,0.3
460,5
461,6.4
462,5
463,6.7
464,7.3
465,3.9
466,3.9
467,6.1
468,4.2
469,2.2
470,2.2
471,3.1
472,3.9
473,4.5
474,7.3
475,7.8
476,9.8
477,10.9
478,5.6
479,3.4
480,3.6
481,7
482,12.8
483,17
484,9.5
485,7.8
486,11.4
487,10
488,12
489,9.8
490,12.2
491,13.3
492,6.7
493,5.3
494,9.2
495,11.7
496,8.6
497,11.4
498,13.3
499,11.4
500,14.7
501,18.7
502,22.8
503,25.6
504,26.4
505,17.8
506,17
507,13.9
508,13.6
509,18.1
510,16.1
511,14.2
512,13.9
513,15.3
514,18.4
515,22.2
516,23.4
517,20.8
518,13.9
519,16.1
520,18.4
521,20.9
522,17.5
523,17.2
524,18.4
525,20.3
526,20.9
527,18.4
528,15.8
529,18.4
530,20.8
531,23.7
532,23.9
533,21.4
534,14.4
535,13.6
536,17.5
537,19.7
538,22.3
539,23.6
540,21.1
541,21.2
542,19.5
543,17.8
544,21.1
545,23.4
546,23.3
547,18.6
548,16.9
549,17
550,19.5
551,14.8
552,14.5
553,17.8
554,24.7
555,21.4
556,20.8
557,21.1
558,22.8
559,18.6
560,17.8
561,17.2
562,17.8
563,20
564,21.7
565,20.9
566,20.9
567,20.6
568,18.4
569,15.6
570,18.7
571,20.3
572,17.5
573,16.4
574,20.6
575,21.1
576,22
577,22
578,20.9
579,19.2
580,21.7
581,24.2
582,22.5
583,25
584,21.7
585,16.9
586,15.6
587,16.1
588,15.6
589,18.6
590,19.8
591,18.4
592,18.9
593,20
594,17.5
595,15.9
596,16.1
597,23.9
598,17.3
599,15.9
600,17.8
601,19.8
602,22
603,24.2
604,23.6
605,23.9
606,24.8
607,22.2
608,23.9
609,22.8
610,18.6
611,17.5
612,17
613,13.1
614,11.4
615,17.2
616,17.5
617,17.5
618,21.1
619,18.4
620,17.2
621,18.9
622,20.6
623,15.9
624,12.8
625,13.4
626,13.9
627,10.9
628,7.3
629,6.7
630,7.5
631,8.6
632,9.7
633,12.5
634,10
635,10.6
636,10.3
637,10.9
638,12.8
639,11.4
640,11.1
641,16.4
642,16.7
643,13.1
644,10
645,11.4
646,13.1
647,12
648,12
649,8.9
650,13.4
651,7
652,6.2
653,5.9
654,16.2
655,11.7
656,9.5
657,13.6
658,10.9
659,5.9
660,6.2
661,8.1
662,3.7
663,1.1
664,0
665,2.5
666,1.7
667,-1.4
668,0.3
669,2.5
670,2.5
671,3.4
672,0.9
673,0.3
674,1.4
675,-2.5
676,-0.3
677,4.7
678,4.2
679,3.9
680,3.4
681,-2.2
682,-2.8
683,-1.4
684,-1.4
685,0.3
686,-0.8
687,-3.3
688,-4.7
689,-2.5
690,3.4
691,2.8
692,0.3
693,0
694,-3.6
695,0.9
696,3.1
697,3.6
698,1.2
699,2.8
700,4.5
701,2.8
702,3.1
703,2.3
704,2.5
705,4.8
706,2.2
707,0.8
708,0.6
709,-3.1
710,-7.8
711,-12.8
712,-12.2
713,-12.8
714,-15.3
715,-12.3
716,-6.4
717,-5.6
718,-3.9
719,-15
720,-18.6
721,-11.7
722,-4.2
723,-11.1
724,-12.2
725,-6.1
726,-16.7
727,-11.4
728,-7.5
729,-19.5
730,-19.5