obs,ID,price,neighbourhood,style, bedrooms, bathrooms,Levels,area,year,property_type
66,714585,1.89,Cote-Saint-Luc,New Construction,1,1,1,365,2009,apartment
16,716421,2.39,Griffintown,Divided Co-ownership,1,1,1,400,2013,apartment
67,714531,2.21,Griffintown,New Construction,1,1,1,426,2015,apartment
57,699119,2.34,Le plateau mont-royal,Loft,1,1,1,450,2008,apartment
68,714528,2.35,Griffintown,New Construction,1,1,1,453,2016,apartment
81,707003,2.55,Le plateau mont-royal,Open area,1,1,1,461,1996,apartment
77,702955,1.2,Cote-Saint-Luc,Open area,1,1,1,506,2008,apartment
56,647610,2.75,Griffintown,Loft,1,1,1,530,2014,apartment
55,712875,2.75,Griffintown,Loft,1,1,1,560,2011,apartment
86,509235,2.59,mont-royal,Semi detached,1,1,1,581,2013,house
25,713812,2.25,Mercier / Hochelaga / Maisonneuve,Divided Co-ownership,2,1,1,600,1910,apartment
85,697870,4.6,Cote-Saint-Luc,Semi detached,2,1,1,607.08,1950,house
83,716608,3.39,Ville marie,Open area,1,1,1,660,2013,apartment
17,618016,3.19,Griffintown,Divided Co-ownership,1,1,1,690,2013,apartment
14,710671,2.63,C_te-des-Neiges / Notre-Dame-de-Gr_ce,Divided Co-ownership,2,1,8,704.65,2009,apartment
75,710883,2.35,mont-royal,New Construction,2,1,7,711,2015,apartment
63,696692,2.24,C_te-des-Neiges / Notre-Dame-de-Gr_ce,New Construction,2,1,1,715,2016,apartment
31,696970,2.29,North Montreal,Divided Co-ownership,2,1,1,749.86,2013,apartment
64,711421,2.64,C_te-des-Neiges / Notre-Dame-de-Gr_ce,New Construction,2,1,1,768,2016,apartment
46,701403,3.43,Ville marie,Divided Co-ownership,1,1,1,775,2016,apartment
13,465092,1.89,North Montreal,Detached,2,1,1,775.7,2008,apartment
32,602000,2.38,North Montreal,Divided Co-ownership,2,1,1,777,2013,apartment
78,673718,2.9,Griffintown,Open area,2,1,1,806,1985,apartment
45,450016,3.35,Ville marie,Divided Co-ownership,2,1,1,812,2005,apartment
44,715645,2.89,Ville marie,Divided Co-ownership,2,2,1,847.12,1998,apartment
30,354943,3.35,mont-royal,Divided Co-ownership,2,1,3,915,1944,apartment
26,705279,2.7,Mercier / Hochelaga / Maisonneuve,Divided Co-ownership,2,1,1,920,2003,apartment
60,713813,2.62,Mercier / Hochelaga / Maisonneuve,Loft,2,1,1,950,2008,apartment
61,713813,2.62,Mercier / Hochelaga / Maisonneuve,Loft,2,1,1,950,2008,apartment
62,699487,2.99,North Montreal,Loft,1,1,1,960,1988,apartment
24,678870,3.39,Le plateau mont-royal,Divided Co-ownership,2,1,1,980,2003,apartment
21,421962,3.48,Lasalle,Divided Co-ownership,2,1,4,1013,2007,apartment
4,691475,3.39,North Montreal,2 storey,3,2,2,1080,1964,house
65,697654,4.52,C_te-des-Neiges / Notre-Dame-de-Gr_ce,New Construction,2,2,1,1085,2016,apartment
20,558737,3.38,Lasalle,Divided Co-ownership,2,1,3,1098,2005,apartment
19,706975,2.75,Lasalle,Divided Co-ownership,2,1,1,1137,2012,apartment
34,709588,4.55,Outremont,Divided Co-ownership,2,1,1,1145,2012,apartment
33,394757,2.9,North Montreal,Divided Co-ownership,2,1,3,1175,1976,apartment
18,713480,3.92,Griffintown,Divided Co-ownership,2,1,1,1444,2012,apartment
2,578750,4.8,Lasalle,2 Storey,4,3,2,1485.42,2012,house
69,714044,3.48,Griffintown,New Construction,2,2,6,1548,2016,apartment
70,714534,3.63,Griffintown,New Construction,2,1,1,1556,2015,apartment
79,636952,3.9,Griffintown,Open area,2,1,1,1575,2014,apartment
48,714757,3.99,Ville marie,Divided Co-ownership,2,2,1,1587,2016,apartment
58,717076,4.49,Le plateau mont-royal,Loft,1,1,1,1628.93,2001,apartment
9,716410,3.79,Mercier / Hochelaga / Maisonneuve,Detached,4,2,1,1647,1951,house
76,659203,3.6,mont-royal,New Construction,2,2,7,1677,2016,apartment
10,715056,4.25,Mercier / Hochelaga / Maisonneuve,Detached,1,1,1,1677.9,1955,house
72,714535,4.12,Griffintown,New Construction,2,1,1,1684,2015,apartment
71,716810,3.83,Griffintown,New Construction,2,1,5,1700,2016,apartment
27,712388,3.38,Mercier / Hochelaga / Maisonneuve,Divided Co-ownership,5,2,2,1724.38,1925,apartment
88,558602,3.9,Lasalle,Townhouse,2,2,4,1759,2009,house
11,714096,4.5,Mercier / Hochelaga / Maisonneuve,Detached,5,1,1,1780,1940,apartment
15,700889,3.99,Cote-Saint-Luc,Divided Co-ownership,2,1,1,1807,1932,apartment
73,713771,3.59,Lasalle,New Construction,2,2,1,1815,2016,apartment
50,701400,5.48,Ville marie,Divided Co-ownership,2,2,1,1901,2016,apartment
5,653638,5.25,Cote-Saint-Luc,Detached,4,3,1,1925,1960,house
47,714601,3.88,Ville marie,Divided Co-ownership,3,1,1,1935,1987,apartment
1,421554,3.6,Lasalle,2 Storey,3,2,2,1987,2007,house
37,710475,5.68,Outremont,Divided Co-ownership,2,1,1,1994,1927,apartment
23,655546,3.65,Lasalle,Divided Co-ownership,3,1,1,2001,2013,apartment
36,716424,5.6,Outremont,Divided Co-ownership,2,1,1,2009,1927,apartment
82,420134,3.59,North Montreal,Open area,3,2,1,2050,1882,apartment
49,714752,5.44,Ville marie,Divided Co-ownership,3,2,1,2070,2010,apartment
22,641529,3.55,Lasalle,Divided Co-ownership,3,1,2,2085,2004,apartment
80,578710,5.29,Lasalle,Open area,2,2,1,2100,2012,apartment
89,684755,4.82,Lasalle,Townhouse,2,1,1,2105,1993,house
8,714354,3.49,Mercier / Hochelaga / Maisonneuve,Detached,3,2,1,2273,1952,house
87,457060,4.89,mont-royal,Semi detached,6,2,2,2305,1963,house
35,710673,5.19,Outremont,Divided Co-ownership,2,1,1,3385.49,1925,apartment
74,617641,5.9,Le plateau mont-royal,New Construction,1,1,4,3578,2016,apartment
39,712484,5.85,Outremont,Divided Co-ownership,3,1,1,3680,1909,apartment
29,713812,7.2,Mercier / Hochelaga / Maisonneuve,Divided Co-ownership,2,1,1,3750,1910,apartment
90,623540,5.99,Lasalle,Townhouse,4,2,2,4000,2012,house
38,596747,5.74,Outremont,Divided Co-ownership,2,1,1,4060,1928,apartment
84,674451,5.75,C_te-des-Neiges / Notre-Dame-de-Gr_ce,Semi detached,5,2,2,4060,1949,house
43,616348,4.5,Outremont,Divided Co-ownership,5,2,2,4300,1913,apartment
54,696799,5.5,Le plateau mont-royal,Duplex,4,2,2,4346,1929,apartment
28,715246,6.25,Mercier / Hochelaga / Maisonneuve,Divided Co-ownership,3,1,3,4592.19,2016,apartment
3,716995,7.49,Le plateau mont-royal,2 storey,3,2,2,4620,1912,house
51,434822,6.5,C_te-des-Neiges / Notre-Dame-de-Gr_ce,Duplex,6,3,2,4660,1951,apartment
53,714678,6.8,C_te-des-Neiges / Notre-Dame-de-Gr_ce,Duplex,9,4,2,4770.72,1930,apartment
12,705869,7.9,mont-royal,Detached,3,2,3,4800,1956,apartment
59,715446,5.6,Le plateau mont-royal,Loft,4,3,2,4937.5,1902,apartment
42,696922,6.5,Outremont,Divided Co-ownership,3,3,3,5200,1976,apartment
41,677008,7.85,Outremont,Divided Co-ownership,5,2,1,5338,1928,apartment
52,714903,6.85,C_te-des-Neiges / Notre-Dame-de-Gr_ce,Duplex,4,2,2,5600,1923,apartment
6,711418,6.65,Cote-Saint-Luc,Detached,4,2,2,5849.75,1957,house
40,630035,6.95,Outremont,Divided Co-ownership,5,2,2,7729.87,1925,apartment
7,624182,7.35,Cote-Saint-Luc,Detached,5,3,2,10299.01,1956,house